home_team,away_team,home_score,away_score
Crystal Palace,Aston Oroszlán,2,0
Wolverhampton,Chelsea,0,0
Everton,West Ham,0,0
Brentford,Manchester Kék,0,0
Tottenham,Fulham,1,1
Brighton,Nottingham,1,0
Newcastle,London Ágyúk,0,1
Liverpool,Vörös Ördögök,1,0
London Ágyúk,Liverpool,3,0
West Ham,Brentford,1,0
Fulham,Chelsea,0,3
Aston Oroszlán,Newcastle,0,1
Manchester Kék,Crystal Palace,0,1
Tottenham,Everton,0,0
Vörös Ördögök,Brighton,2,0
Nottingham,Wolverhampton,0,0
Brighton,London Ágyúk,0,2
Wolverhampton,Vörös Ördögök,1,0
Newcastle,Manchester Kék,1,2
Chelsea,Nottingham,1,1
Everton,Fulham,1,0
Brentford,Tottenham,0,2
Liverpool,Aston Oroszlán,1,0
Crystal Palace,West Ham,0,1
West Ham,Newcastle,1,1
Vörös Ördögök,Chelsea,1,0
Manchester Kék,Liverpool,0,0
Tottenham,Crystal Palace,0,0
Everton,Brentford,0,1
London Ágyúk,Wolverhampton,1,2
Aston Oroszlán,Brighton,0,1
Fulham,Nottingham,0,1
Wolverhampton,Aston Oroszlán,0,0
Brighton,Manchester Kék,0,1
Crystal Palace,Everton,0,0
Liverpool,West Ham,2,0
Nottingham,Vörös Ördögök,0,0
Chelsea,London Ágyúk,0,2
Newcastle,Tottenham,1,1
Brentford,Fulham,1,0
Tottenham,Liverpool,0,0
Manchester Kék,Wolverhampton,1,1
Brentford,Crystal Palace,0,0
West Ham,Brighton,1,0
Aston Oroszlán,Chelsea,1,0
Fulham,Vörös Ördögök,0,0
Everton,Newcastle,1,0
London Ágyúk,Nottingham,3,0
Chelsea,Manchester Kék,0,1
Vörös Ördögök,London Ágyúk,0,0
Wolverhampton,West Ham,0,0
Nottingham,Aston Oroszlán,1,0
Brighton,Tottenham,0,1
Crystal Palace,Fulham,1,0
Liverpool,Everton,1,0
Newcastle,Brentford,0,0
Everton,Brighton,3,0
Brentford,Liverpool,0,0
Fulham,London Ágyúk,0,0
Tottenham,Wolverhampton,2,0
Crystal Palace,Newcastle,0,0
Manchester Kék,Nottingham,0,0
Aston Oroszlán,Vörös Ördögök,0,0
West Ham,Chelsea,1,2
Nottingham,West Ham,1,0
Wolverhampton,Everton,1,0
Vörös Ördögök,Manchester Kék,0,2
Brighton,Brentford,0,0
London Ágyúk,Aston Oroszlán,1,0
Liverpool,Crystal Palace,0,2
Newcastle,Fulham,1,1
Chelsea,Tottenham,1,0
Brentford,Wolverhampton,1,1
Tottenham,Nottingham,0,0
Manchester Kék,London Ágyúk,3,0
Newcastle,Liverpool,2,0
West Ham,Vörös Ördögök,0,1
Everton,Chelsea,3,0
Fulham,Aston Oroszlán,0,0
Crystal Palace,Brighton,0,0
Vörös Ördögök,Tottenham,0,0
Brighton,Newcastle,2,1
Liverpool,Fulham,1,0
Aston Oroszlán,Manchester Kék,1,0
Wolverhampton,Crystal Palace,1,2
Nottingham,Everton,0,2
Chelsea,Brentford,0,0
London Ágyúk,West Ham,3,1
Manchester Kék,Aston Oroszlán,2,0
London Ágyúk,Vörös Ördögök,0,0
Crystal Palace,Chelsea,0,1
Liverpool,Fulham,0,0
Brentford,Tottenham,2,0
West Ham,Nottingham,1,1
Brighton,Everton,0,2
Newcastle,Wolverhampton,2,2
Fulham,Brentford,1,0
Chelsea,Brighton,2,0
Aston Oroszlán,West Ham,1,0
Wolverhampton,Vörös Ördögök,0,1
Crystal Palace,London Ágyúk,0,0
Everton,Liverpool,0,0
Nottingham,Newcastle,0,1
Tottenham,Manchester Kék,1,0
Brentford,Everton,0,0
Vörös Ördögök,Nottingham,0,2
West Ham,Tottenham,1,2
Brighton,Crystal Palace,2,0
London Ágyúk,Wolverhampton,0,1
Manchester Kék,Fulham,0,0
Newcastle,Aston Oroszlán,1,2
Liverpool,Chelsea,1,1
Tottenham,Newcastle,0,1
Brighton,London Ágyúk,3,1
Fulham,West Ham,0,0
Chelsea,Brentford,1,0
Everton,Manchester Kék,1,0
Aston Oroszlán,Vörös Ördögök,0,3
Nottingham,Wolverhampton,1,2
Crystal Palace,Liverpool,0,1
Newcastle,Fulham,1,0
Liverpool,Brighton,1,0
Wolverhampton,Aston Oroszlán,1,0
Vörös Ördögök,Tottenham,1,0
London Ágyúk,Nottingham,1,0
Brentford,Crystal Palace,0,0
West Ham,Everton,0,1
Manchester Kék,Chelsea,1,0
Chelsea,West Ham,0,1
Tottenham,Wolverhampton,1,1
Liverpool,London Ágyúk,0,1
Everton,Newcastle,1,0
Fulham,Vörös Ördögök,0,1
Aston Oroszlán,Nottingham,1,1
Crystal Palace,Manchester Kék,0,0
Brighton,Brentford,0,1
West Ham,Crystal Palace,0,1
Manchester Kék,Brighton,3,0
Vörös Ördögök,Everton,1,0
Brentford,Liverpool,0,1
London Ágyúk,Aston Oroszlán,3,0
Nottingham,Tottenham,0,1
Newcastle,Chelsea,0,1
Wolverhampton,Fulham,2,0
Everton,Wolverhampton,0,0
Liverpool,Manchester Kék,0,2
Chelsea,Vörös Ördögök,3,0
Fulham,Nottingham,0,0
Tottenham,Aston Oroszlán,0,0
Brighton,West Ham,1,0
Crystal Palace,Newcastle,0,1
Brentford,London Ágyúk,0,0
Newcastle,Brighton,0,1
Vörös Ördögök,Crystal Palace,2,1
Aston Oroszlán,Fulham,0,0
Wolverhampton,Chelsea,0,2
Manchester Kék,Brentford,2,0
West Ham,Liverpool,1,1
Nottingham,Everton,1,2
London Ágyúk,Tottenham,1,2
Chelsea,Nottingham,1,1
Brighton,Vörös Ördögök,1,1
Fulham,Tottenham,0,1
Crystal Palace,Wolverhampton,0,0
Liverpool,Newcastle,0,1
Manchester Kék,London Ágyúk,0,0
Everton,Aston Oroszlán,0,0
Brentford,West Ham,3,0
Vörös Ördögök,Liverpool,0,1
West Ham,Manchester Kék,2,0
Wolverhampton,Brighton,1,0
Newcastle,Brentford,0,1
Nottingham,Crystal Palace,0,0
London Ágyúk,Fulham,1,0
Aston Oroszlán,Chelsea,1,2
Tottenham,Everton,1,0
Crystal Palace,Aston Oroszlán,0,0
Chelsea,Tottenham,0,2
West Ham,London Ágyúk,1,2
Brighton,Nottingham,1,1
Everton,Fulham,1,0
Brentford,Vörös Ördögök,0,1
Manchester Kék,Newcastle,0,0
Liverpool,Wolverhampton,0,0
Wolverhampton,Brentford,1,1
Aston Oroszlán,Brighton,0,0
Vörös Ördögök,Manchester Kék,0,1
Tottenham,Crystal Palace,1,0
Newcastle,West Ham,0,0
Fulham,Chelsea,1,1
London Ágyúk,Everton,0,1
Nottingham,Liverpool,0,3
Brighton,Tottenham,2,0
Brentford,Nottingham,0,1
West Ham,Vörös Ördögök,0,1
Chelsea,Everton,0,1
Manchester Kék,Wolverhampton,2,1
Liverpool,Aston Oroszlán,0,0
Newcastle,London Ágyúk,0,1
Crystal Palace,Fulham,0,1
Nottingham,Manchester Kék,0,1
Everton,Crystal Palace,0,1
London Ágyúk,Chelsea,2,1
Vörös Ördögök,Newcastle,0,1
Fulham,Brighton,1,0
Aston Oroszlán,Brentford,0,0
Tottenham,Liverpool,0,1
Wolverhampton,West Ham,2,0
Aston Oroszlán,Manchester Kék,0,0
Vörös Ördögök,London Ágyúk,0,0
Chelsea,Crystal Palace,2,1
Fulham,Liverpool,1,0
Tottenham,Brentford,1,0
Nottingham,West Ham,0,2
Everton,Brighton,1,0
Wolverhampton,Newcastle,0,1
Brentford,Fulham,1,0
Brighton,Chelsea,0,1
West Ham,Aston Oroszlán,1,1
Vörös Ördögök,Wolverhampton,3,0
London Ágyúk,Crystal Palace,2,2
Liverpool,Everton,0,1
Newcastle,Nottingham,0,1
Manchester Kék,Tottenham,0,0
Everton,Brentford,1,0
Nottingham,Vörös Ördögök,0,2
Tottenham,West Ham,1,1
Crystal Palace,Brighton,1,0
Wolverhampton,London Ágyúk,0,0
Fulham,Manchester Kék,0,1
Aston Oroszlán,Newcastle,1,1
Chelsea,Liverpool,0,0
Newcastle,Tottenham,0,0
London Ágyúk,Brighton,0,0
West Ham,Fulham,1,1
Brentford,Chelsea,0,1
Manchester Kék,Everton,1,1
Vörös Ördögök,Aston Oroszlán,4,0
Wolverhampton,Nottingham,1,1
Liverpool,Crystal Palace,1,1
Fulham,Newcastle,0,0
Brighton,Liverpool,2,1
Aston Oroszlán,Wolverhampton,1,1
Tottenham,Vörös Ördögök,1,1
Nottingham,London Ágyúk,1,0
Crystal Palace,Brentford,1,0
Everton,West Ham,0,1
Chelsea,Manchester Kék,0,2
West Ham,Chelsea,2,2
Wolverhampton,Tottenham,1,2
London Ágyúk,Liverpool,0,1
Newcastle,Everton,0,2
Vörös Ördögök,Fulham,0,0
Nottingham,Aston Oroszlán,2,0
Manchester Kék,Crystal Palace,0,0
Brentford,Brighton,3,0
Crystal Palace,West Ham,0,0
Brighton,Manchester Kék,1,1
Everton,Vörös Ördögök,0,0
Liverpool,Brentford,0,0
Aston Oroszlán,London Ágyúk,0,1
Tottenham,Nottingham,2,0
Chelsea,Newcastle,2,1
Fulham,Wolverhampton,1,0
Wolverhampton,Everton,1,0
Manchester Kék,Liverpool,1,1
Vörös Ördögök,Chelsea,1,3
Nottingham,Fulham,1,0
Aston Oroszlán,Tottenham,0,0
West Ham,Brighton,1,1
Newcastle,Crystal Palace,0,1
London Ágyúk,Brentford,2,1
Brighton,Newcastle,0,1
Crystal Palace,Vörös Ördögök,1,0
Fulham,Aston Oroszlán,2,0
Chelsea,Wolverhampton,1,1
Brentford,Manchester Kék,1,1
Liverpool,West Ham,0,1
Everton,Nottingham,0,0
Tottenham,London Ágyúk,1,1
Nottingham,Chelsea,1,1
Vörös Ördögök,Brighton,0,0
Tottenham,Fulham,0,0
Wolverhampton,Crystal Palace,0,0
Newcastle,Liverpool,0,0
London Ágyúk,Manchester Kék,1,1
Aston Oroszlán,Everton,0,0
West Ham,Brentford,1,1
Liverpool,Vörös Ördögök,0,1
Manchester Kék,West Ham,1,0
Brighton,Wolverhampton,0,0
Brentford,Newcastle,1,0
Crystal Palace,Nottingham,0,0
Fulham,London Ágyúk,3,0
Chelsea,Aston Oroszlán,0,1
Everton,Tottenham,0,2
Aston Oroszlán,Crystal Palace,0,1
Tottenham,Chelsea,0,1
London Ágyúk,West Ham,1,0
Nottingham,Brighton,1,1
Fulham,Everton,0,1
Vörös Ördögök,Brentford,1,0
Newcastle,Manchester Kék,2,0
Wolverhampton,Liverpool,1,2
Brentford,Wolverhampton,0,0
Brighton,Aston Oroszlán,1,1
Manchester Kék,Vörös Ördögök,0,1
Crystal Palace,Tottenham,0,1
West Ham,Newcastle,1,0
Chelsea,Fulham,0,1
Everton,London Ágyúk,0,0
Liverpool,Nottingham,1,1
Tottenham,Brighton,2,0
Nottingham,Brentford,1,1
Vörös Ördögök,West Ham,0,0
Everton,Chelsea,0,0
Wolverhampton,Manchester Kék,1,1
Aston Oroszlán,Liverpool,2,0
London Ágyúk,Newcastle,0,0
Fulham,Crystal Palace,0,0
Manchester Kék,Nottingham,0,1
Crystal Palace,Everton,1,1
Chelsea,London Ágyúk,1,0
Newcastle,Vörös Ördögök,2,2
Brighton,Fulham,1,0
Brentford,Aston Oroszlán,0,0
Liverpool,Tottenham,0,0
West Ham,Wolverhampton,0,0
Brighton,Tottenham,1,3
Crystal Palace,Chelsea,1,0
Newcastle,Nottingham,1,2
Manchester Kék,Everton,1,0
Wolverhampton,Liverpool,0,0
Fulham,Brentford,0,0
London Ágyúk,Vörös Ördögök,1,0
Aston Oroszlán,West Ham,1,0
Everton,Wolverhampton,2,1
Nottingham,London Ágyúk,0,0
Tottenham,Fulham,3,1
West Ham,Chelsea,1,1
Newcastle,Crystal Palace,0,1
Vörös Ördögök,Manchester Kék,2,0
Brentford,Aston Oroszlán,0,1
Liverpool,Brighton,1,0
Wolverhampton,Vörös Ördögök,0,1
Chelsea,Brentford,0,1
Fulham,Liverpool,0,1
London Ágyúk,Newcastle,2,1
Crystal Palace,West Ham,0,1
Brighton,Everton,0,2
Aston Oroszlán,Tottenham,1,1
Manchester Kék,Nottingham,0,0
Liverpool,Aston Oroszlán,1,0
London Ágyúk,Crystal Palace,0,1
Everton,Fulham,2,0
Nottingham,Wolverhampton,2,0
Vörös Ördögök,Brighton,3,0
Tottenham,Chelsea,0,0
Brentford,West Ham,1,1
Newcastle,Manchester Kék,1,0
Aston Oroszlán,Everton,1,0
Manchester Kék,London Ágyúk,1,0
West Ham,Tottenham,1,0
Chelsea,Liverpool,1,0
Crystal Palace,Brentford,0,0
Wolverhampton,Newcastle,0,0
Fulham,Vörös Ördögök,0,2
Brighton,Nottingham,0,0
Nottingham,Fulham,0,0
Liverpool,West Ham,1,0
Manchester Kék,Crystal Palace,0,1
Vörös Ördögök,Aston Oroszlán,1,1
Everton,Chelsea,2,0
Tottenham,Brentford,0,0
Newcastle,Brighton,1,2
London Ágyúk,Wolverhampton,0,1
Fulham,Newcastle,1,0
Brighton,London Ágyúk,1,1
Chelsea,Vörös Ördögök,0,0
Wolverhampton,Manchester Kék,1,1
Crystal Palace,Tottenham,0,2
Brentford,Liverpool,0,1
Aston Oroszlán,Nottingham,0,0
West Ham,Everton,0,1
Vörös Ördögök,West Ham,2,0
Manchester Kék,Brighton,0,0
Nottingham,Chelsea,0,0
Everton,Brentford,0,0
Liverpool,Tottenham,0,0
London Ágyúk,Fulham,0,1
Newcastle,Aston Oroszlán,1,0
Wolverhampton,Crystal Palace,0,0
Aston Oroszlán,London Ágyúk,0,0
Chelsea,Newcastle,0,0
Tottenham,Everton,0,1
West Ham,Nottingham,0,0
Brighton,Wolverhampton,3,1
Fulham,Manchester Kék,0,2
Brentford,Vörös Ördögök,1,2
Crystal Palace,Liverpool,0,3
Nottingham,Brentford,1,0
London Ágyúk,Chelsea,0,0
Everton,Liverpool,0,0
Newcastle,West Ham,2,0
Manchester Kék,Aston Oroszlán,0,0
Brighton,Crystal Palace,1,0
Vörös Ördögök,Tottenham,2,0
Wolverhampton,Fulham,2,0
Chelsea,Manchester Kék,0,1
Fulham,Brighton,1,0
West Ham,London Ágyúk,1,2
Aston Oroszlán,Wolverhampton,1,1
Brentford,Newcastle,1,0
Crystal Palace,Everton,0,1
Tottenham,Nottingham,1,1
Liverpool,Vörös Ördögök,1,0
Newcastle,Tottenham,1,1
Nottingham,Liverpool,0,2
Fulham,Crystal Palace,1,0
London Ágyúk,Brentford,0,1
Vörös Ördögök,Everton,1,0
Wolverhampton,Chelsea,1,1
Brighton,Aston Oroszlán,1,1
Manchester Kék,West Ham,3,0
West Ham,Wolverhampton,2,0
Tottenham,London Ágyúk,1,1
Chelsea,Brighton,0,0
Liverpool,Newcastle,0,2
Aston Oroszlán,Fulham,0,0
Everton,Nottingham,1,0
Crystal Palace,Vörös Ördögök,0,0
Brentford,Manchester Kék,1,1
London Ágyúk,Liverpool,0,1
Wolverhampton,Brentford,1,0
Fulham,Chelsea,1,0
Nottingham,Vörös Ördögök,0,2
Brighton,West Ham,0,1
Manchester Kék,Tottenham,2,0
Aston Oroszlán,Crystal Palace,0,0
Newcastle,Everton,0,2
Brentford,Brighton,2,0
Vörös Ördögök,Newcastle,1,2
Crystal Palace,Nottingham,1,0
Chelsea,Aston Oroszlán,1,1
Everton,London Ágyúk,0,1
Tottenham,Wolverhampton,3,0
Liverpool,Manchester Kék,2,0
West Ham,Fulham,0,0
Tottenham,Brighton,0,0
Chelsea,Crystal Palace,0,1
Nottingham,Newcastle,1,2
Everton,Manchester Kék,2,1
Liverpool,Wolverhampton,2,0
Brentford,Fulham,0,1
Vörös Ördögök,London Ágyúk,1,2
West Ham,Aston Oroszlán,1,1
Wolverhampton,Everton,1,1
London Ágyúk,Nottingham,2,0
Fulham,Tottenham,0,1
Chelsea,West Ham,0,0
Crystal Palace,Newcastle,1,0
Manchester Kék,Vörös Ördögök,0,1
Aston Oroszlán,Brentford,1,1
Brighton,Liverpool,0,1
Vörös Ördögök,Wolverhampton,2,0
Brentford,Chelsea,0,1
Liverpool,Fulham,0,1
Newcastle,London Ágyúk,2,0
West Ham,Crystal Palace,0,1
Everton,Brighton,2,1
Tottenham,Aston Oroszlán,4,0
Nottingham,Manchester Kék,1,1
Aston Oroszlán,Liverpool,0,0
Crystal Palace,London Ágyúk,2,1
Fulham,Everton,0,1
Wolverhampton,Nottingham,1,1
Brighton,Vörös Ördögök,0,0
Chelsea,Tottenham,0,0
West Ham,Brentford,1,1
Manchester Kék,Newcastle,2,0
Everton,Aston Oroszlán,1,0
London Ágyúk,Manchester Kék,0,0
Tottenham,West Ham,1,0
Liverpool,Chelsea,0,0
Brentford,Crystal Palace,1,0
Newcastle,Wolverhampton,1,1
Vörös Ördögök,Fulham,0,0
Nottingham,Brighton,1,1
Fulham,Nottingham,0,3
West Ham,Liverpool,1,1
Crystal Palace,Manchester Kék,0,2
Aston Oroszlán,Vörös Ördögök,1,1
Chelsea,Everton,3,0
Brentford,Tottenham,0,0
Brighton,Newcastle,0,0
Wolverhampton,London Ágyúk,0,2
Newcastle,Fulham,0,0
London Ágyúk,Brighton,1,1
Vörös Ördögök,Chelsea,1,3
Manchester Kék,Wolverhampton,0,3
Tottenham,Crystal Palace,1,1
Liverpool,Brentford,1,1
Nottingham,Aston Oroszlán,2,1
Everton,West Ham,2,0
West Ham,Vörös Ördögök,0,1
Brighton,Manchester Kék,0,0
Chelsea,Nottingham,3,0
Brentford,Everton,0,0
Tottenham,Liverpool,1,1
Fulham,London Ágyúk,2,0
Aston Oroszlán,Newcastle,1,0
Crystal Palace,Wolverhampton,0,1
London Ágyúk,Aston Oroszlán,0,3
Newcastle,Chelsea,0,1
Everton,Tottenham,3,0
Nottingham,West Ham,1,0
Wolverhampton,Brighton,1,1
Manchester Kék,Fulham,2,0
Vörös Ördögök,Brentford,1,0
Liverpool,Crystal Palace,2,0
Brentford,Nottingham,1,0
Chelsea,London Ágyúk,1,0
Liverpool,Everton,0,0
West Ham,Newcastle,1,1
Aston Oroszlán,Manchester Kék,1,2
Crystal Palace,Brighton,2,0
Tottenham,Vörös Ördögök,0,1
Fulham,Wolverhampton,1,0
Manchester Kék,Chelsea,0,0
Brighton,Fulham,0,1
London Ágyúk,West Ham,0,0
Wolverhampton,Aston Oroszlán,1,0
Newcastle,Brentford,2,0
Everton,Crystal Palace,2,0
Nottingham,Tottenham,0,2
Vörös Ördögök,Liverpool,0,1
Tottenham,Newcastle,1,1
Liverpool,Nottingham,3,1
Crystal Palace,Fulham,0,0
Brentford,London Ágyúk,0,1
Everton,Vörös Ördögök,0,0
Chelsea,Wolverhampton,0,1
Aston Oroszlán,Brighton,1,1
West Ham,Manchester Kék,0,2
Wolverhampton,West Ham,0,0
London Ágyúk,Tottenham,1,2
Brighton,Chelsea,0,0
Newcastle,Liverpool,0,0
Fulham,Aston Oroszlán,1,0
Nottingham,Everton,0,1
Vörös Ördögök,Crystal Palace,0,0
Manchester Kék,Brentford,1,2
Liverpool,London Ágyúk,1,3
Brentford,Wolverhampton,1,1
Chelsea,Fulham,1,0
Vörös Ördögök,Nottingham,0,1
West Ham,Brighton,0,0
Tottenham,Manchester Kék,0,0
Crystal Palace,Aston Oroszlán,1,1
Everton,Newcastle,2,1
Brighton,Brentford,1,1
Newcastle,Vörös Ördögök,1,3
Nottingham,Crystal Palace,0,0
Aston Oroszlán,Chelsea,0,3
London Ágyúk,Everton,0,1
Wolverhampton,Tottenham,0,2
Manchester Kék,Liverpool,1,0
Fulham,West Ham,3,0
London Ágyúk,Crystal Palace,1,1
Wolverhampton,Newcastle,0,1
Everton,Manchester Kék,0,0
Brighton,Fulham,0,3
Brentford,Aston Oroszlán,2,0
Chelsea,Vörös Ördögök,2,0
Nottingham,Tottenham,0,0
Liverpool,West Ham,1,0
Fulham,Brentford,0,0
Manchester Kék,Nottingham,0,1
Crystal Palace,Chelsea,0,1
West Ham,Newcastle,1,1
Everton,Wolverhampton,1,0
Tottenham,Brighton,1,1
Vörös Ördögök,Liverpool,0,0
Aston Oroszlán,London Ágyúk,0,1
Brentford,Tottenham,0,0
Newcastle,Vörös Ördögök,0,1
Chelsea,Aston Oroszlán,0,0
Nottingham,Everton,1,1
Wolverhampton,West Ham,1,0
London Ágyúk,Fulham,1,0
Liverpool,Crystal Palace,3,0
Brighton,Manchester Kék,0,0
Aston Oroszlán,Liverpool,0,0
Nottingham,Wolverhampton,0,0
Fulham,Chelsea,2,0
Manchester Kék,Brentford,2,0
Tottenham,London Ágyúk,0,2
Crystal Palace,Newcastle,1,1
Vörös Ördögök,West Ham,1,0
Everton,Brighton,0,0
Liverpool,Fulham,1,0
Brighton,Nottingham,1,0
West Ham,Crystal Palace,1,1
Newcastle,Aston Oroszlán,0,0
Wolverhampton,Vörös Ördögök,1,0
Brentford,Everton,0,0
Chelsea,Tottenham,2,0
London Ágyúk,Manchester Kék,1,2
Manchester Kék,Chelsea,0,1
Aston Oroszlán,West Ham,1,1
Brighton,Wolverhampton,2,0
Tottenham,Liverpool,0,0
Fulham,Newcastle,0,0
Crystal Palace,Vörös Ördögök,0,1
Everton,London Ágyúk,1,1
Nottingham,Brentford,0,0
Chelsea,Everton,1,2
London Ágyúk,Nottingham,3,0
Newcastle,Tottenham,0,1
Brentford,Brighton,0,0
Wolverhampton,Crystal Palace,0,0
Vörös Ördögök,Aston Oroszlán,2,0
Liverpool,Manchester Kék,2,2
West Ham,Fulham,0,1
Tottenham,West Ham,0,0
Brighton,London Ágyúk,0,1
Manchester Kék,Newcastle,1,1
Fulham,Vörös Ördögök,1,0
Aston Oroszlán,Crystal Palace,1,0
Nottingham,Chelsea,0,0
Everton,Liverpool,1,1
Brentford,Wolverhampton,1,1
Liverpool,Nottingham,1,0
Newcastle,Everton,0,0
Crystal Palace,Fulham,0,1
West Ham,Manchester Kék,0,1
London Ágyúk,Brentford,1,0
Chelsea,Brighton,3,0
Vörös Ördögök,Tottenham,0,2
Wolverhampton,Aston Oroszlán,0,0
Manchester Kék,Vörös Ördögök,0,2
Nottingham,Newcastle,0,0
Fulham,Aston Oroszlán,0,0
Everton,West Ham,0,0
Brighton,Liverpool,0,0
London Ágyúk,Wolverhampton,0,2
Tottenham,Crystal Palace,1,0
Brentford,Chelsea,1,0
Newcastle,Brighton,0,0
Chelsea,London Ágyúk,1,0
West Ham,Nottingham,1,0
Liverpool,Brentford,0,0
Vörös Ördögök,Everton,0,0
Wolverhampton,Fulham,1,0
Crystal Palace,Manchester Kék,0,1
Aston Oroszlán,Tottenham,1,0
Everton,Crystal Palace,1,0
